proposed_key,ulb_name,district,mepma_ulb_id,cdma_ulb_code,lgd_district_codes,lgd_mandal_codes,lgd_local_body_code,spellings_found,spellings,datasets,review_flags
MEPMA-212,PENUKONDA,SRI SATYA SAI,212,1179,754,1179;5356,,2,"""Sri Satya Sai"" / PENUKONDA | ""Sri Satya Sai"" / Penukonda | SRI SATYA SAI / PENUKONDA | Sri Sathya Sai / PENUKONDA | Sri Satya Sai / PENUKONDA | Sri Satya Sai / Penukonda",13,"several mandal codes (A3, C1)"
MEPMA-148,PUTTAPARTHY,SRI SATYA SAI,148,1155,754,1155;5357,,4,"""Sri Satya Sai"" / PUTTAPARTHI | ""Sri Satya Sai"" / Puttaparthi | ""Sri Satya Sai"" / Puttaparthy | SRI SATYA SAI / PUTTAPARTHY | Sri Sathya Sai / PUTTAPARTHI | Sri Satya Sai / Puttaparthi | Sri Satya Sai / Puttaparthy",14,"several mandal codes (A3, C1); 4 spellings (A1); ""PUTTAPARTHI"" (Sri Sathya Sai) attached by same spelling as an approved decision under another district label, review needed"
MEPMA-102,AMADALAVALASA,SRIKAKULAM,102,1082,519,1082;4798,,3,SRIKAKULAM / AMADALAVALASA | Srikakulam / AMADALAVALASA | Srikakulam / Amadalavalasa | Srikakulam / Amudalavalasa,14,"several mandal codes (A3, C1)"
MEPMA-103,ICHAPURAM,SRIKAKULAM,103,1083,519,1083;4778,,3,SRIKAKULAM / ICHAPURAM | Srikakulam / ICHAPURAM | Srikakulam / ICHCHAPURAM | Srikakulam / Ichapuram,15,"several mandal codes (A3, C1)"
MEPMA-104,PALASA-KASSIBUGGA,SRIKAKULAM,104,1084,519,1084,,7,"SRIKAKULAM / PALASA-KASSIBUGGA | Srikakulam / ""PALASA KASIBUGGA"" | Srikakulam / ""Palasa Kasibugga"" | Srikakulam / PALASA KASIBUGGA | Srikakulam / PALASAKASIBUGGA | Srikakulam / Palasa -Kasibugga | Srikakulam / Palasa Kasibugga",15,7 spellings (A1)
MEPMA-106,SRIKAKULAM,SRIKAKULAM,106,1085,519,1085;4802;4806,,2,SRIKAKULAM / SRIKAKULAM | Srikakulam / SRIKAKULAM | Srikakulam / Srikakulam,14,"several mandal codes (A3, C1)"
MEPMA-200,NAIDUPET,TIRUPATI,200,1153,752,1153;5194,,4,TIRUPATI / NAIDUPET | Tirupati / NAIDUPET | Tirupati / NAIDUPETA | Tirupati / Naidupet | Tirupati / Naidupeta,14,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-20,PUTTUR,TIRUPATI,20,1119,752,1119;5407,,2,TIRUPATI / PUTTUR | Tirupati / PUTTUR | Tirupati / Puttur,15,"several mandal codes (A3, C1)"
MEPMA-21,SRIKALAHASTHI,TIRUPATI,21,1011,752,1011;5378,,4,TIRUPATI / SRIKALAHASTHI | Tirupati / SRIKALAHASTI | Tirupati / Srikalahasthi | Tirupati / Srikalahasti,15,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-184,SULLURPET,TIRUPATI,184,1152,752,1152;5197,,4,TIRUPATI / SULLURPET | Tirupati / SULLURPET | Tirupati / SULLURUPETA | Tirupati / Sullurpet | Tirupati / Sullurpeta,14,"several mandal codes (A3, C1); 4 spellings (A1); ""SULLURUPETA"" (Tirupati) attached by LGD mandal code 1152, review needed"
