proposed_key,ulb_name,district,mepma_ulb_id,cdma_ulb_code,lgd_district_codes,lgd_mandal_codes,lgd_local_body_code,spellings_found,spellings,datasets,review_flags
MEPMA-29,RAMACHANDRAPURAM,DR. BR AMBEDKAR KONASEEMA,29,1065,747;752,1065;4924;5398,,2,"""Ambedkar Konaseema"" / Ramachandrapuram | ""B.R Ambedkar Konaseema"" / Ramachandrapuram | ""Dr. B.R Ambedkar Konaseema"" / Ramachandrapuram | ""Dr. B.R. Ambedkar Konaseema"" / RAMACHANDRAPURAM | ""Dr. B.R. Ambedkar Konaseema"" / Ramachandrapuram | Ambedkar Konaseema / Ramachandrapuram | DR. BR AMBEDKAR KONASEEMA / RAMACHANDRAPURAM | Dr. B.R Ambedkar Konaseema / Ramachandrapuram | Dr. B.R. Ambedkar Konaseema / RAMACHANDRAPURAM | Dr. B.R. Ambedkar Konaseema / Ramachandrapuram | Konaseema / Ramachandrapuram",16,"several mandal codes (A3, C1); district codes disagree (N4)"
MEPMA-118,KOVVUR,EAST GODAVARI,118,1076,505,1076;4958,,3,"""East Godavari"" / KOVVUR | ""East Godavari"" / Kovvur | EAST GODAVARI / KOVVUR | East Godavari / KOVVUR | East Godavari / Kovvur | East Godavari / Kovvuru",14,"several mandal codes (A3, C1)"
MEPMA-25,MANDAPET,EAST GODAVARI,25,1061,505,1061;4920,,3,"""Ambedkar Konaseema"" / Mandapeta | ""East Godavari"" / MANDAPETA | ""East Godavari"" / Mandapeta | Ambedkar Konaseema / Mandapeta | EAST GODAVARI / MANDAPET | East Godavari / MANDAPETA | East Godavari / Mandapeta",14,"several mandal codes (A3, C1)"
MEPMA-120,NIDADAVOLE,EAST GODAVARI,120,1078,505,1078;4960,,4,"""East Godavari"" / NIDADAVOLE | ""East Godavari"" / Nidadavole | ""East Godavari"" / Nidadavolu | EAST GODAVARI / NIDADAVOLE | East Godavari / NIDADAVOLE | East Godavari / NIDADAVOLU | East Godavari / Nidadavole | East Godavari / Nidadavolu",15,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-28,RAJAHMUNDRY,EAST GODAVARI,28,1064,505,1064;4908,,6,"""East Godavari"" / RAJAHMUNDRY | ""East Godavari"" / Rajahmahendravaram | ""East Godavari"" / Rajamahendravaram | ""East Godavari"" / Rajamahendravarm | EAST GODAVARI / RAJAHMUNDRY | East Godavari / RAJAHMUNDRY | East Godavari / RAJAMAHENDRAVARAM | East Godavari / Rajahmahendravaram | East Godavari / Rajahmundry | East Godavari / Rajamahendravaram | East Godavari / Rajamahendravarm",18,"several mandal codes (A3, C1); 6 spellings (A1)"
MEPMA-216,CHINTALAPUDI,ELURU,216,1193,748,1193;4944,,3,ELURU / CHINTALAPUDI | Eluru / CHINTALAPUDI | Eluru / CHINTHALAPUDI | Eluru / Chintalapudi,14,"several mandal codes (A3, C1); ""CHINTHALAPUDI"" (Eluru) attached by LGD mandal code 1193, review needed"
MEPMA-117,ELURU,ELURU,117,1075,748,1075;4966,,2,ELURU / ELURU | Eluru / ELURU | Eluru / Eluru,16,"several mandal codes (A3, C1)"
MEPMA-170,JANGAREDDY GUDEM,ELURU,170,1142,748,1142,,3,"ELURU / ""JANGAREDDY GUDEM"" | Eluru / JANGAREDDYGUDEM | Eluru / Jangareddygudem",14,
MEPMA-67,NUZIVID,ELURU,67,1071,748,1071,,4,ELURU / NUZIVID | Eluru / NUZIVID | Eluru / NUZIVIDU | Eluru / Nuzivid | Eluru / Nuzvid,14,"4 spellings (A1); ""NUZIVIDU"" (Eluru) attached by its name contains ""NUZIVID"" or a known spelling of it, review needed"
MEPMA-34,GUNTUR,GUNTUR,34,1021,506,1021,,2,GUNTUR / GUNTUR | Guntur / GUNTUR | Guntur / Guntur,17,
MEPMA-36,MANGALAGIRI,GUNTUR,36,1023,506,1023;5054;5055,,7,"GUNTUR / MANGALAGIRI | Guntur / ""Mangalagiri- Tadepalli"" | Guntur / MANGALAGIRI | Guntur / MANGALAGIRI TADEPALLI | Guntur / Mangalagiri | Guntur / Mangalagiri Tadepalli | Guntur / Mangalagiri- Tadepalli | Guntur / Mangalagiri-Tadepalli",17,"several mandal codes (A3, C1); 7 spellings (A1)"
MEPMA-39,PONNUR,GUNTUR,39,1025,506,1025;5084,,3,GUNTUR / PONNUR | Guntur / PONNUR | Guntur / Ponnur | Guntur / Ponnuru,17,"several mandal codes (A3, C1)"
MEPMA-145,TADEPALLI,GUNTUR,145,,,,,1,GUNTUR / TADEPALLI,3,no LGD district code in any dataset; not in the CDMA daily files
MEPMA-42,TENALI,GUNTUR,42,1028,506,1028;5078,,2,GUNTUR / TENALI | Guntur / TENALI | Guntur / Tenali,15,"several mandal codes (A3, C1)"
MEPMA-149,GOLLAPROLLU,KAKINADA,149,1138,746,1138;4902,,5,KAKINADA / GOLLAPROLLU | Kakinada / GOLLAPROLU | Kakinada / Gollaprollu | Kakinada / Gollaprolu | Kakinada / Gollaprolu NP,12,"several mandal codes (A3, C1); 5 spellings (A1)"
MEPMA-24,KAKINADA,KAKINADA,24,1060,746,1060,,2,KAKINADA / KAKINADA | Kakinada / KAKINADA | Kakinada / Kakinada,15,
MEPMA-26,PEDDAPURAM,KAKINADA,26,1062,746,1062;4903,,2,KAKINADA / PEDDAPURAM | Kakinada / PEDDAPURAM | Kakinada / Peddapuram,16,"several mandal codes (A3, C1)"
MEPMA-27,PITHAPURAM,KAKINADA,27,1063,746,1063;4911,,2,KAKINADA / PITHAPURAM | Kakinada / PITHAPURAM | Kakinada / Pithapuram,17,"several mandal codes (A3, C1)"
MEPMA-30,SAMALKOT,KAKINADA,30,1066,746,1066;4910,,3,KAKINADA / SAMALKOT | Kakinada / SAMALKOT | Kakinada / Samalkot | Kakinada / Samalkota,16,"several mandal codes (A3, C1)"
MEPMA-31,TUNI,KAKINADA,31,1067,746,1067;4890,,2,KAKINADA / TUNI | Kakinada / TUNI | Kakinada / Tuni,14,"several mandal codes (A3, C1)"
MEPMA-172,YELESWARAM,KAKINADA,172,1140,746,1140;4893,,2,KAKINADA / YELESWARAM | Kakinada / YELESWARAM | Kakinada / Yeleswaram,15,"several mandal codes (A3, C1)"
MEPMA-64,GUDIVADA,KRISHNA,64,1068,510,1068;5021,,2,KRISHNA / GUDIVADA | Krishna / GUDIVADA | Krishna / Gudivada,15,"several mandal codes (A3, C1)"
MEPMA-66,MACHILIPATNAM,KRISHNA,66,1070,510,1070;5034,,2,KRISHNA / MACHILIPATNAM | Krishna / MACHILIPATNAM | Krishna / Machilipatnam,16,"several mandal codes (A3, C1)"
MEPMA-68,PEDANA,KRISHNA,68,1072,510,1072;5030,,2,KRISHNA / PEDANA | Krishna / PEDANA | Krishna / Pedana,13,"several mandal codes (A3, C1)"
MEPMA-174,VUYYURU,KRISHNA,174,1144,510,1144;5027,,2,KRISHNA / VUYYURU | Krishna / VUYYURU | Krishna / Vuyyuru,14,"several mandal codes (A3, C1)"
MEPMA-217,YSR TADIGADAPA,KRISHNA,217,1192,510,1192,,8,"KRISHNA / ""YSR TADIGADAPA"" | Krishna / ""YSR TADIGADAPA"" | Krishna / ""YSR Tadigada"" | Krishna / ""YSR Tadigadapa"" | Krishna / TADIGADAPA | Krishna / Tadigadapa | Krishna / YSR TADIGADAPA | Krishna / YSR Tadigada | Krishna / YSR Tadigadapa",15,8 spellings (A1)
MEPMA-70,ADONI,KURNOOL,70,1015,511,1015;5271,,2,KURNOOL / ADONI | Kurnool / ADONI | Kurnool / Adoni,15,"several mandal codes (A3, C1)"
MEPMA-156,GUDUR_KURNOOL,KURNOOL,156,1163,511,1163,,8,"KURNOOL / GUDUR_KURNOOL | Kurnool / ""Gudur (K)"" | Kurnool / ""Gudur (KNL)"" | Kurnool / GUDUR(KURNOOL) | Kurnool / Gudur (K) | Kurnool / Gudur (KNL) | Kurnool / Gudur(K) | Kurnool / Guduru (K)",11,8 spellings (A1)
MEPMA-72,KURNOOL,KURNOOL,72,1016,511,1016;5259,,2,KURNOOL / KURNOOL | Kurnool / KURNOOL | Kurnool / Kurnool,16,"several mandal codes (A3, C1)"
MEPMA-74,YEMMIGANUR,KURNOOL,74,1018,511,1018;5254,,2,KURNOOL / YEMMIGANUR | Kurnool / YEMMIGANUR | Kurnool / Yemmiganur,15,"several mandal codes (A3, C1)"
MEPMA-165,GIDDALUR,MARKAPURAM,165,1148,790,1148;5133,,4,MARKAPURAM / GIDDALUR | Markapuram / GIDDALUR | Markapuram / GIDDALURU | Markapuram / Giddalur | Markapuram / Giddaluru | Prakasam / Giddalur,15,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-166,KANIGIRI,MARKAPURAM,166,1150,790,1150;5136,,2,MARKAPURAM / KANIGIRI | Markapuram / KANIGIRI | Markapuram / Kanigiri | Prakasam / Kanigiri,17,"several mandal codes (A3, C1)"
MEPMA-98,MARKAPUR,MARKAPURAM,98,1034,790,1034;5115,,2,MARKAPURAM / MARKAPUR | Markapuram / MARKAPUR | Markapuram / Markapur,17,"several mandal codes (A3, C1)"
CDMA-1191,PODILI,Markapuram,,1191,790,1191;5120,,2,Markapuram / PODILI | Markapuram / Podili | Prakasam / Podili,11,"several mandal codes (A3, C1); not in the MEPMA tables"
MEPMA-177,ALLAGADDA,NANDYAL,177,1162,755,1162;5298,,2,NANDYAL / ALLAGADDA | Nandyal / ALLAGADDA | Nandyal / Allagadda | Nandyala / Allagadda,14,"several mandal codes (A3, C1)"
MEPMA-176,ATMAKUR-KURNOOL,NANDYAL,176,1160,755,1160,,9,"Kurnool / Atmakur K | NANDYAL / ATMAKUR-KURNOOL | Nandyal / ""Atmakur (KNL)"" | Nandyal / ATMAKUR(NANDYAL) | Nandyal / ATMAKUR_K | Nandyal / Atmakur | Nandyal / Atmakur (K) | Nandyal / Atmakur (KNL) | Nandyala / ""Atmakur (K)"" | Nandyala / Atmakur (K)",15,"9 spellings (A1); ""ATMAKUR(NANDYAL)"" (Nandyal) attached by its name contains ""ATMAKUR-KURNOOL"" or a known spelling of it, review needed"
MEPMA-210,BETHAMCHERLA,NANDYAL,210,1182,755,1182;5279,,3,NANDYAL / BETHAMCHERLA | Nandyal / BETHAMCHERLA | Nandyal / Bethamcherla | Nandyala / Bethamcharla,13,"several mandal codes (A3, C1)"
MEPMA-71,DHONE,NANDYAL,71,1125,755,1125;5289,,2,NANDYAL / DHONE | Nandyal / DHONE | Nandyal / Dhone | Nandyala / Dhone,17,"several mandal codes (A3, C1)"
MEPMA-185,NANDIKOTKUR,NANDYAL,185,1161,755,1161;5260,,2,NANDYAL / NANDIKOTKUR | Nandyal / NANDIKOTKUR | Nandyal / Nandikotkur | Nandyala / Nandikotkur,12,"several mandal codes (A3, C1)"
MEPMA-73,NANDYAL,NANDYAL,73,1017,755,1017;5284,,3,NANDYAL / NANDYAL | Nandyal / NANDYAL | Nandyal / Nandyal | Nandyal / Nandyala | Nandyala / Nandyal,15,"several mandal codes (A3, C1)"
MEPMA-65,JAGGIAHPET,NTR,65,1069,749,1069;4991,,7,"""NTR "" / Jaggiahpeta | NTR / JAGGAIAHPET | NTR / JAGGIAHPET | NTR / Jaggaiahpet | NTR / Jaggaiahpeta | NTR / Jaggaipeta | NTR / Jaggayyapeta | NTR / Jaggiahpeta",17,"several mandal codes (A3, C1); 7 spellings (A1)"
MEPMA-211,KONDAPALLI,NTR,211,1187,749,1187,,3,"""NTR "" / Kondapalli | NTR / KONDAPALLI | NTR / Kondapalli | NTR / Kondpalli",17,
MEPMA-175,NANDIGAMA,NTR,175,1145,749,1145;4993,,2,"""NTR "" / Nandigama | ""NTR District"" / Nandigama | NTR / NANDIGAMA | NTR / Nandigama",16,"several mandal codes (A3, C1)"
MEPMA-173,TIRUVURU,NTR,173,1146,749,1146;4997,,2,"""NTR "" / Tiruvuru | ""NTR District"" / Tiruvuru | NTR / TIRUVURU | NTR / Tiruvuru",17,"several mandal codes (A3, C1)"
MEPMA-33,CHILAKALURIPET,PALNADU,33,1020,751,1020;5070,,3,PALNADU / CHILAKALURIPET | Palnadu / CHILAKALURIPET | Palnadu / Chilakaluripet | Palnadu / Chilakaluripeta,13,"several mandal codes (A3, C1)"
MEPMA-207,DACHEPALLI,PALNADU,207,1183,751,1183;5045,,2,PALNADU / DACHEPALLI | Palnadu / DACHEPALLI | Palnadu / Dachepalli,13,"several mandal codes (A3, C1)"
MEPMA-206,GURAJALA,PALNADU,206,1184,751,1184;5044,,4,PALNADU / GURAJALA | Palnadu / GURAJALA | Palnadu / GURAZALA | Palnadu / Gurajala | Palnadu / Gurazala,13,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-35,MACHERLA,PALNADU,35,1022,751,1022;5040,,2,PALNADU / MACHERLA | Palnadu / MACHERLA | Palnadu / Macherla,18,"several mandal codes (A3, C1)"
MEPMA-37,NARASARAOPET,PALNADU,37,1024,751,1024;5067,,4,PALNADU / NARASARAOPET | Palnadu / NARASARAOPET | Palnadu / Narasaraopet | Palnadu / Narasaraopeta | Palnadu / Narsaraopet,15,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-38,PIDUGURALLA,PALNADU,38,1132,751,1132;5047,,2,PALNADU / PIDUGURALLA | Palnadu / PIDUGURALLA | Palnadu / Piduguralla,17,"several mandal codes (A3, C1)"
MEPMA-41,SATTENAPALLI,PALNADU,41,1027,751,1027;5058,,4,PALNADU / SATTENAPALLI | Palnadu / SATTENAPALLE | Palnadu / SATTENAPALLI | Palnadu / Sattenapalle | Palnadu / Sattenapalli,13,"several mandal codes (A3, C1); 4 spellings (A1)"
MEPMA-43,VINUKONDA,PALNADU,43,1131,751,1131;5062,,2,PALNADU / VINUKONDA | Palnadu / VINUKONDA | Palnadu / Vinukonda,18,"several mandal codes (A3, C1)"
MEPMA-203,PALAKONDA,PARVATHIPURAM MANYAM,203,1134,743,1134;4784,,3,"""Parvathipuram Manyam"" / PALAKONDA | ""Parvathipuram Manyam"" / Palakonda | ""Parvathipuram Manyam"" / Palkonda | PARVATHIPURAM MANYAM / PALAKONDA | Parvathipuram Manyam / PALAKONDA | Parvathipuram Manyam / Palakonda | Parvathipuram Manyam / Palkonda",14,"several mandal codes (A3, C1)"
